,original_release_date,runtime_x,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,adult,budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,runtime_y,status,title,vote_average,vote_count,drama
393,2010-12-17,91.0,Certified-Fresh,87.0,200.0,Upright,72.0,31823.0,57,False,5000000,"[{'id': 18, 'name': 'Drama'}]",27585,tt0935075,en,Rabbit Hole,7.007993,2010-12-16,91.0,Released,rabbit hole,6.8,167.0,True
394,2016-02-19,134.0,Fresh,62.0,156.0,Upright,77.0,14981.0,40,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",19658,tt1017456,en,Race,2.337689,2008-03-20,161.0,Released,race,5.8,32.0,True
395,2018-04-13,107.0,Rotten,51.0,275.0,Upright,71.0,9713.0,48,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",38780,tt1337057,en,Rampage,5.085308,2009-08-14,85.0,Released,rampage,6.0,132.0,True
396,2008-12-10,123.0,Fresh,63.0,202.0,Upright,79.0,206910.0,51,False,32000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8055,tt0976051,en,The Reader,7.931732,2008-12-10,124.0,Released,the reader,7.2,835.0,True
397,,88.0,Fresh,100.0,13.0,Upright,67.0,254.0,3,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",403570,tt3567194,en,Red Dog: True Blue,1.273964,2016-12-26,88.0,Released,red dog true blue,5.9,9.0,True
398,2012-08-10,121.0,Rotten,58.0,66.0,Spilled,34.0,2060.0,27,False,0,"[{'id': 18, 'name': 'Drama'}]",84328,tt1989593,en,Red Hook Summer,1.134888,2012-08-10,125.0,Released,red hook summer,6.7,7.0,True
399,2007-04-13,113.0,Certified-Fresh,88.0,88.0,Upright,71.0,8262.0,28,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",11705,tt0471030,en,Red Road,11.054764,2006-05-20,105.0,Released,red road,6.3,62.0,True
400,2010-10-08,103.0,Fresh,81.0,26.0,Upright,66.0,1253.0,9,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",41827,tt1465505,en,Red White & Blue,3.039909,2010-10-08,102.0,Released,red white & blue,5.8,46.0,True
401,2007-11-16,91.0,Rotten,45.0,109.0,Spilled,45.0,35237.0,40,False,5000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",11600,tt0937237,en,Redacted,3.494388,2007-01-01,90.0,Released,redacted,6.2,37.0,True
402,2016-06-24,95.0,Fresh,85.0,13.0,Spilled,53.0,346.0,5,False,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10770, 'name': 'TV Movie'}]",371504,tt4258440,en,River,2.444659,2015-10-13,349.0,Released,river,7.9,37.0,True
403,2012-08-17,90.0,Certified-Fresh,86.0,139.0,Upright,75.0,25219.0,41,False,2500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",84329,tt1990314,en,Robot & Frank,9.291494,2012-08-16,85.0,Released,robot & frank,6.8,454.0,True
